Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов,Наличие отзывов,Ценовая категория,Цена/Рейтинг
"Вино Riesling 390eme Anniversaire, Trimbach",2016,Франция,Сухое,6990.0,5.0,1.0,1,Среднее,0.03112449799196787
Вино Chateau Lynch-Bages,2016,Франция,Сухое,37990.0,0.0,0.0,0,Дорогое,
Вино Penfolds Grange,2016,Австралия,Сухое,174990.0,0.0,0.0,0,Дорогое,
Вино Penfolds St Henri Shiraz,2016,Австралия,Сухое,27490.0,0.0,0.0,0,Дорогое,
Вино Bertinga,2016,Италия,Сухое,11190.0,5.0,1.0,1,Среднее,0.05220883534136546
"Вино Pinot Noir Laurene, Domaine Drouhin Oregon",2016,Соединенные Штаты Америки,Сухое,19990.0,5.0,0.0,0,Дорогое,0.0963855421686747
"Вино Savigny-les-Beaune 1er Cru aux Vergelesses  , Simon Bize & Fils",2016,Франция,Сухое,15490.0,0.0,0.0,0,Среднее,
"Вино Patrimo, Feudi di San Gregorio",2016,Италия,Сухое,16990.0,0.0,0.0,0,Дорогое,
Вино Le Serre Nuove dell'Ornellaia,2016,Италия,Сухое,24130.0,5.0,2.0,1,Дорогое,0.11716867469879517
"Вино Corton Grand Cru Le Corton, Bouchard Pere & Fils",2016,Франция,Сухое,34990.0,0.0,0.0,0,Дорогое,
"Вино Sena, Vina Sena",2016,Чили,Сухое,34990.0,5.0,0.0,0,Дорогое,0.17168674698795183
"Вино Tenuta Tascante Contrada Sciaranuova V.V., Tasca d'Almerita",2016,Италия,Сухое,12994.0,5.0,1.0,1,Среднее,0.061265060240963856
Вино Ornellaia,2016,Италия,Сухое,89990.0,5.0,0.0,0,Дорогое,0.4477911646586345
"Вино Chateauneuf-du-Pape Chateau de Nalys Rouge, Guigal",2016,Франция,Сухое,11694.0,0.0,0.0,0,Среднее,
"Вино Punta di Adine, Bertinga",2016,Италия,Сухое,14990.0,0.0,0.0,0,Среднее,
"Вино Clos de Vougeot Grand Cru AOC, Domaine Hubert Lignier",2017,Франция,Сухое,54990.0,0.0,0.0,0,Дорогое,
"Вино Maranges Vieilles Vignes, Domaine Thierry et Pascale Matrot",2017,Франция,Сухое,6790.0,0.0,0.0,0,Среднее,
"Вино Clos de L'Echelier Rouge, Thierry Germain",2017,Франция,Сухое,9490.0,0.0,0.0,0,Среднее,
"Вино Clos de L'Echelier Blanc, Thierry Germain",2017,Франция,Сухое,11990.0,0.0,0.0,0,Среднее,
"Вино Batard-Montrachet Grand Cru, Olivier Leflaive Freres",2017,Франция,Сухое,174990.0,0.0,0.0,0,Дорогое,
"Вино Chardonnay Alesia, Rhys Vineyards",2017,Соединенные Штаты Америки,Сухое,9990.0,4.0,1.0,1,Среднее,0.05773092369477911
"Вино La Marginale, Thierry Germain",2017,Франция,Сухое,8490.0,5.0,1.0,1,Среднее,0.03865461847389558
Вино Ornellaia,2017,Италия,Сухое,79990.0,5.0,0.0,0,Дорогое,0.39759036144578314
"Вино Outre Terre (Saumur Champigny), Thierry Germain",2017,Франция,Сухое,11990.0,5.0,0.0,0,Среднее,0.05622489959839357
"Вино Yamhill Cuvee Pinot Noir, Domaine Serene",2017,Соединенные Штаты Америки,Сухое,14990.0,4.0,1.0,1,Среднее,0.08910642570281124
Вино Chateau-Grillet,2017,Франция,Сухое,89990.0,5.0,0.0,0,Дорогое,0.4477911646586345
"Вино Cantos del Diablo, Daniel Landi",2017,Испания,Сухое,18340.0,0.0,0.0,0,Дорогое,
"Вино Pinot Noir Alpine Vineyard, Rhys Vineyards",2017,Соединенные Штаты Америки,Сухое,28490.0,0.0,0.0,0,Дорогое,
"Вино Sassicaia, Tenuta San Guido",2017,Италия,Сухое,79990.0,5.0,6.0,1,Дорогое,0.39759036144578314
"Вино Sassi Chiusi, Bertinga",2017,Италия,Сухое,4290.0,4.4,27.0,1,Дешевое,0.019966228550565894
Вино Hacienda Lopez de Haro Reserva,2017,Испания,Сухое,1424.0,4.7,12.0,1,Дешевое,0.003385883961377424
"Вино Finca Torrea, Marques de Riscal",2017,Испания,Сухое,6490.0,0.0,0.0,0,Среднее,
"Вино Tenuta Regaleali Rosso del Conte, Tasca d'Almerita",2017,Италия,Сухое,5943.0,0.0,0.0,0,Среднее,
"Вино Le Pied de la Butte, Domaine de la Butte",2017,Франция,Сухое,5920.0,0.0,0.0,0,Среднее,
"Вино Colombard, Rigal",2017,Франция,Полусухое,1490.0,4.5,4.0,1,Дешевое,0.0039045069165551086
"Вино Boca, Le Piane",2017,Италия,Сухое,13990.0,0.0,0.0,0,Среднее,
"Вино Bourgogne Chardonnay, Domaine Thierry et Pascale Matrot",2017,Франция,Сухое,5490.0,5.0,0.0,0,Дешевое,0.023594377510040163
"Вино Valbuena 5, Bodegas Vega Sicilia",2017,Испания,Сухое,31490.0,5.0,2.0,1,Дорогое,0.15411646586345382
"Вино Baron de Chirel Reserva, Marques de Riscal",2017,Испания,Сухое,19990.0,4.5,2.0,1,Дорогое,0.107095046854083
"Вино Volnay, Domaine Jean-Marc & Thomas Bouley",2017,Франция,Сухое,13990.0,5.0,1.0,1,Среднее,0.06626506024096386
"Вино Savigny-les-Beaune Premier Cru La Dominode, Domaine Bruno Clair",2017,Франция,Сухое,16990.0,5.0,2.0,1,Дорогое,0.08132530120481928
"Вино Napanook, Dominus Estate",2017,Соединенные Штаты Америки,Сухое,21490.0,4.0,0.0,0,Дорогое,0.12989457831325302
"Вино Dominus, Dominus Estate",2017,Соединенные Штаты Америки,Сухое,74990.0,0.0,0.0,0,Дорогое,
Вино Triennes Les Aureliens Rouge,2017,Франция,Сухое,2990.0,5.0,1.0,1,Дешевое,0.01104417670682731
"Вино Pinot Gris Reserve Personnelle, Trimbach",2017,Франция,Полусухое,7290.0,5.0,0.0,0,Среднее,0.03263052208835341
"Вино Franc de Pied, Thierry Germain",2017,Франция,Сухое,8990.0,0.0,0.0,0,Среднее,
"Вино Gran Feudo Reserva, Bodegas Chivite",2017,Испания,Сухое,1690.0,4.6,15.0,1,Дешевое,0.0049109481403876365
"Вино Torrione, Petrolo",2017,Италия,Сухое,4990.0,4.3,1.0,1,Дешевое,0.024516671336508825
"Вино Vino Nobile di Montepulciano Vigneto Antica Chiusina, Fattoria del Cerro",2017,Италия,Сухое,6490.0,4.5,1.0,1,Среднее,0.03179384203480588
"Вино Cote-Rotie Chateau d'Ampuis, Guigal",2017,Франция,Сухое,26490.0,0.0,1.0,1,Дорогое,
"Вино Clos de Vougeot Grand Cru, Domaine Jean Grivot",2017,Франция,Сухое,64990.0,0.0,0.0,0,Дорогое,
"Вино Nuits-Saint-Georges Premier Cru Aux Boudots, Domaine Jean Grivot",2017,Франция,Сухое,51050.0,0.0,0.0,0,Дорогое,
"Вино Nuits-Saint-Georges Premier Cru Les Pruliers, Domaine Jean Grivot",2017,Франция,Сухое,43040.0,0.0,0.0,0,Дорогое,
"Вино Mimmo, Le Piane",2017,Италия,Сухое,4990.0,4.8,0.0,0,Дешевое,0.02196285140562249
"Вино Gran Feudo Crianza, Bodegas Chivite",2017,Испания,Сухое,1440.0,4.3,19.0,1,Дешевое,0.003794246754459699
"Вино L'Ermita Velles Vinyes, Alvaro Palacios",2017,Испания,Сухое,199990.0,5.0,1.0,1,Дорогое,1.0
"Вино Brunello di Montalcino, Le Potazzine",2017,Италия,Сухое,18990.0,0.0,0.0,0,Дорогое,
Вино Amarone della Valpolicella Classico Riserva Sergio Zenato,2017,Италия,Сухое,17990.0,5.0,4.0,1,Дорогое,0.08634538152610442
"Вино Coleccion 125 Reserva, Bodegas Chivite",2017,Испания,Сухое,5990.0,4.5,4.0,1,Среднее,0.02900490852298081
"Вино Riesling Kastelberg Grand Cru Le Chateau, Domaine Marc Kreydenweiss",2017,Франция,Сухое,13990.0,5.0,0.0,0,Среднее,0.06626506024096386
Вино Ca'Del Bosco Chardonnay,2017,Италия,Сухое,17490.0,5.0,0.0,0,Дорогое,0.08383534136546185
"Вино Monthelie, Domaine Thierry et Pascale Matrot",2017,Франция,Сухое,8990.0,0.0,0.0,0,Среднее,
"Вино Cote-Rotie La Mouline, Guigal",2017,Франция,Сухое,84990.0,0.0,0.0,0,Дорогое,
"Вино Meursault-Blagny Premier Cru La Piece Sous le Bois, Domaine Comtesse de Cherisey",2017,Франция,Сухое,23990.0,0.0,0.0,0,Дорогое,
"Вино Barolo Bussia Romirasco, Aldo Conterno",2017,Италия,Сухое,44990.0,0.0,0.0,0,Дорогое,
"Вино Barolo Bussia, Aldo Conterno",2017,Италия,Сухое,19990.0,0.0,0.0,0,Дорогое,
"Вино Pinot Noir Laurene, Domaine Drouhin Oregon",2017,Соединенные Штаты Америки,Сухое,17490.0,5.0,0.0,0,Дорогое,0.08383534136546185
"Вино Gevrey-Chambertin, Domaine Pierre Damoy",2017,Франция,Сухое,22490.0,0.0,0.0,0,Дорогое,
"Вино Pinot Gris Reserve, Trimbach",2017,Франция,Полусухое,3143.0,5.0,0.0,0,Дешевое,0.011812248995983937
"Вино Gevrey-Chambertin Clos Du Meix Des Ouches, Domaine de Varoilles",2017,Франция,Сухое,13990.0,0.0,0.0,0,Среднее,
"Вино Zanna, Dino Illuminati",2017,Италия,Сухое,4990.0,4.5,0.0,0,Дешевое,0.023427041499330652
"Вино Palistorti di Valgiano Rosso, Tenuta di Valgiano",2017,Италия,Сухое,5690.0,5.0,1.0,1,Дешевое,0.02459839357429719
"Вино Brunello di Montalcino, Le Potazzine",2017,Италия,Сухое,18990.0,0.0,0.0,0,Дорогое,
"Вино Cote-Rotie La Turque, Guigal",2017,Франция,Сухое,84990.0,0.0,0.0,0,Дорогое,
"Вино Cote-Rotie La Landonne, Guigal",2017,Франция,Сухое,84990.0,0.0,0.0,0,Дорогое,
"Вино Gevrey-Chambertin 1er Cru Clos Saint-JacquesVieille Vigne, Domaine Fourrier",2017,Франция,Сухое,169990.0,0.0,0.0,0,Дорогое,
"Вино Barbera d'Alba Superiore Santo Stefano di Perno, Giuseppe Mascarello",2017,Италия,Сухое,9500.0,0.0,0.0,0,Среднее,
"Вино Gevrey-Chambertin Clos Tamisot, Domaine Pierre Damoy",2017,Франция,Сухое,37990.0,0.0,0.0,0,Дорогое,
"Вино Bourgogne Rouge, Domaine Pierre Damoy",2017,Франция,Сухое,9990.0,0.0,0.0,0,Среднее,
"Вино Don Maximiano Founder's Reserve, Errazuriz",2017,Чили,Сухое,15490.0,0.0,0.0,0,Среднее,
"Вино Pommard, Domaine Jean-Marc & Thomas Bouley",2017,Франция,Сухое,13490.0,3.5,0.0,0,Среднее,0.09107860011474468
"Вино Barbera d'Alba, Bruno Giacosa",2017,Италия,Сухое,7790.0,0.0,0.0,0,Среднее,
"Вино Langhe Nebbiolo Il Favot, Aldo Conterno",2017,Италия,Сухое,10990.0,0.0,0.0,0,Среднее,
"Вино La Gioia, Riecine",2017,Италия,Сухое,13990.0,5.0,1.0,1,Среднее,0.06626506024096386
"Вино Fixin Les Mogottes, Domaine Pierre Damoy",2017,Франция,Сухое,17990.0,0.0,0.0,0,Дорогое,
"Вино Puligny-Montrachet Premier Cru Hameau de Blagny, Domaine Comtesse de Cherisey",2017,Франция,Сухое,23990.0,0.0,0.0,0,Дорогое,
"Вино Barolo Ravera, Vietti",2017,Италия,Сухое,37490.0,0.0,0.0,0,Дорогое,
"Вино Barolo Rocche di Castiglione, Vietti",2017,Италия,Сухое,37490.0,0.0,0.0,0,Дорогое,
Вино Chateau Canon,2017,Франция,Сухое,22490.0,0.0,0.0,0,Дорогое,
"Вино Les Memoires (Saumur Champigny), Thierry Germain",2017,Франция,Сухое,9990.0,0.0,0.0,0,Среднее,
"Вино Chianti Classico Gran Selezione Vigna del Sorbo, Fontodi",2017,Италия,Сухое,17930.0,0.0,0.0,0,Дорогое,
"Вино Cote-Rotie La Landonne, Guigal",2017,Франция,Сухое,84990.0,0.0,0.0,0,Дорогое,
"Вино Cote-Rotie La Mouline, Guigal",2017,Франция,Сухое,84990.0,0.0,0.0,0,Дорогое,
"Вино Cote-Rotie La Turque, Guigal",2017,Франция,Сухое,84990.0,0.0,0.0,0,Дорогое,
"Вино Syrah, Mullineux & Leeu",2017,Южная Африка,Сухое,6490.0,5.0,0.0,0,Среднее,0.028614457831325296
Вино Agos ,2017,Армения,Сухое,3490.0,4.5,2.0,1,Дешевое,0.015060240963855422
"Вино Bourgogne Blanc Les Ravry, Domaine Pierre Damoy",2017,Франция,Сухое,9990.0,0.0,0.0,0,Среднее,
"Вино Chateauneuf-du-Pape Rouge, Guigal",2017,Франция,Сухое,6293.0,4.6,2.0,1,Среднее,0.030027719573947967
"Вино Chapelle-Chambertin Grand Cru, Domaine Pierre Damoy",2017,Франция,Сухое,119990.0,0.0,0.0,0,Дорогое,
"Вино Latricieres-Chambertin Grand Cru, Simon Bize & Fils",2017,Франция,Сухое,57490.0,0.0,0.0,0,Дорогое,
Вино Chateau Calon Segur,2017,Франция,Сухое,37990.0,5.0,1.0,1,Дорогое,0.18674698795180725
"Вино Mimmo, Le Piane",2018,Италия,Сухое,4990.0,4.8,0.0,0,Дешевое,0.02196285140562249
Вино Набор Banfi Col di Sasso+Le Rime,2018,Италия,Вино,6060.0,0.0,0.0,0,Среднее,
"Вино L`Apparita, Castello di Ama",2018,Италия,Сухое,54990.0,5.0,1.0,1,Дорогое,0.2720883534136546
Вино Chateau Potensac,2018,Франция,Сухое,6490.0,4.8,1.0,1,Среднее,0.029806726907630518
"Вино Fixin, Domaine Pierre Gelin",2018,Франция,Сухое,8990.0,4.5,2.0,1,Среднее,0.045738509593931276
"Вино Barolo Castiglione, Vietti",2018,Италия,Сухое,14490.0,5.0,1.0,1,Среднее,0.06877510040160642
"Вино Chambertin Grand Cru, Domaine Trapet Pere et Fils",2018,Франция,Сухое,124990.0,0.0,0.0,0,Дорогое,
"Вино Gevrey-Chambertin Clos de Meixvelle, Domaine Pierre Gelin",2018,Франция,Сухое,12490.0,5.0,0.0,0,Среднее,0.05873493975903614
"Вино Meursault Premier Cru Genevrieres, Bouchard Pere & Fils",2018,Франция,Сухое,27490.0,0.0,0.0,0,Дорогое,
"Вино Gevrey-Chambertin Ostrea, Domaine Trapet Pere et Fils",2018,Франция,Сухое,18990.0,0.0,0.0,0,Дорогое,
"Вино Barbaresco Il Bricco, Pio Cesare",2018,Италия,Сухое,22490.0,0.0,0.0,0,Дорогое,
"Вино Saperavi, Lukasi",2018,Грузия,Сухое,3990.0,4.9,5.0,1,Дешевое,0.016392099008278007
"Вино Savigny-les-Beaune Premier Cru La Dominode, Domaine Bruno Clair",2018,Франция,Сухое,16990.0,5.0,2.0,1,Дорогое,0.08132530120481928
"Вино Barolo Mosconi, Pio Cesare",2018,Италия,Сухое,26490.0,0.0,0.0,0,Дорогое,
"Вино Barolo Cerequio, Vietti",2018,Италия,Сухое,39990.0,0.0,0.0,0,Дорогое,
Вино Chateau d'Yquem,2018,Франция,Сладкое,69990.0,5.0,0.0,0,Дорогое,0.3473895582329317
"Вино Barolo Gavarini Vigna Chiniera, Elio Grasso",2018,Италия,Сухое,19490.0,0.0,0.0,0,Дорогое,
"Вино Barolo Ginestra Casa Mate, Elio Grasso",2018,Италия,Сухое,19490.0,5.0,0.0,0,Дорогое,0.09387550200803213
"Вино Barolo Rocche di Castiglione, Vietti",2018,Италия,Сухое,39990.0,0.0,0.0,0,Дорогое,
"Вино Barolo Ravera, Vietti",2018,Италия,Сухое,39990.0,0.0,0.0,0,Дорогое,
"Вино Barolo Lazzarito, Vietti",2018,Италия,Сухое,39990.0,5.0,1.0,1,Дорогое,0.19678714859437751
"Вино LR, Colterenzio",2018,Италия,Сухое,22490.0,5.0,0.0,0,Дорогое,0.10893574297188754
"Вино Derthona Costa del Vento, Vigneti Massa",2018,Италия,Полусухое,11490.0,0.0,0.0,0,Среднее,
"Вино Spatburgunder Kirschgarten GG, Knipser",2018,Германия,Сухое,11190.0,4.0,0.0,0,Среднее,0.06526104417670682
Вино Besini Premium Red,2018,Грузия,Сухое,2990.0,4.2,2.0,1,Дешевое,0.013147829412889653
"Вино Le Petit Cheval Blanc, Chateau Cheval Blanc",2018,Франция,Сухое,26990.0,5.0,0.0,0,Дорогое,0.1315261044176707
Вино Villa di Capezzana Carmignano,2018,Италия,Сухое,5990.0,4.0,0.0,0,Среднее,0.03263052208835341
"Вино Chambertin Clos de Beze, Domaine Pierre Gelin",2018,Франция,Сухое,69990.0,0.0,0.0,0,Дорогое,
"Вино Chianti Classico Gran Selezione San Lorenzo, Castello di Ama",2018,Италия,Сухое,11190.0,5.0,3.0,1,Среднее,0.05220883534136546
"Вино Chianti Classico Gran Selezione San Lorenzo, Castello di Ama",2018,Италия,Сухое,11990.0,5.0,0.0,0,Среднее,0.05622489959839357
"Вино Awatea, Te Mata",2018,Новая Зеландия,Сухое,5490.0,3.0,1.0,1,Дешевое,0.0393239625167336
"Вино Aerope, Two Hands",2018,Австралия,Сухое,14990.0,5.0,1.0,1,Среднее,0.071285140562249
"Вино Mille e Una Notte, Donnafugata",2018,Италия,Сухое,10493.0,5.0,0.0,0,Среднее,0.048709839357429716
"Вино Gevrey-Chambertin Premier Cru Capita, Domaine Trapet Pere et Fils",2018,Франция,Сухое,36490.0,0.0,0.0,0,Дорогое,
"Вино Pomino Pinot Nero, Frescobaldi",2018,Италия,Сухое,5490.0,5.0,0.0,0,Дешевое,0.023594377510040163
"Вино Pinot Gris Les Elements, Domaine Bott-Geyl",2018,Франция,Полусухое,4190.0,5.0,0.0,0,Дешевое,0.017068273092369475
"Вино Laurenc, Pranzegg",2018,Италия,Сухое,7990.0,5.0,0.0,0,Среднее,0.03614457831325301
"Вино Vosne-Romanee, Domaine Duroche",2018,Франция,Сухое,21490.0,0.0,0.0,0,Дорогое,
"Вино Riesling Marienburg Grosses Gewachs, Clemens Busch",2018,Германия,Полусухое,7990.0,5.0,1.0,1,Среднее,0.03614457831325301
"Вино Barolo Ornato, Pio Cesare",2018,Италия,Сухое,22490.0,3.5,0.0,0,Дорогое,0.15562248995983932
"Вино Santenay Vieilles Vignes, Domaine Amiot Guy et Fils",2018,Франция,Сухое,6990.0,0.0,0.0,0,Среднее,
"Вино Steakwine Chardonnay, Penaflor",2018,Аргентина,Полусухое,1270.0,4.3,7.0,1,Дешевое,0.0028019052956010084
"Вино 50 & 50, Capannelle",2018,Италия,Сухое,24490.0,0.0,0.0,0,Дорогое,
Вино Chateau Marjosse Blanc ,2018,Франция,Сухое,3190.0,5.0,0.0,0,Дешевое,0.012048192771084336
"Вино L'Abeille de Fieuzal, Chateau de Fieuzal",2018,Франция,Сухое,4740.0,0.0,0.0,0,Дешевое,
"Вино Chambolle-Musigny, Bouchard Pere & Fils",2018,Франция,Сухое,16490.0,4.5,2.0,1,Дорогое,0.08757251227130744
"Вино Don Maximiano Founder's Reserve, Errazuriz",2018,Чили,Сухое,15990.0,0.0,0.0,0,Среднее,
"Вино Morey-Saint-Denis Premier Cru La Forge de Tart, Domaine Clos de Tart",2018,Франция,Сухое,57490.0,0.0,0.0,0,Дорогое,
"Вино Nuits-Saint-Georges Premier Cru Aux Boudots, Domaine Jean Grivot",2018,Франция,Сухое,37490.0,0.0,0.0,0,Дорогое,
"Вино Bourgogne Pinot Noir, Domaine Jean Grivot",2018,Франция,Сухое,8990.0,5.0,0.0,0,Среднее,0.04116465863453815
"Вино Derthona, Vigneti Massa",2018,Италия,Сухое,6890.0,4.3,1.0,1,Среднее,0.03560754646492949
"Вино La Cumbre, Errazuriz",2018,Чили,Сухое,18610.0,0.0,0.0,0,Дорогое,
"Вино Spatburgunder Kalkmergel, Knipser",2018,Германия,Сухое,5990.0,4.0,0.0,0,Среднее,0.03263052208835341
"Вино Riesling Marienburg Grosses Gewachs Rothenpfad, Clemens Busch",2018,Германия,Полусухое,8190.0,5.0,0.0,0,Среднее,0.03714859437751004
"Вино Le Dos d'Chat Bebess, Fabrice Dodane & Domaine de Saint-Pierre",2018,Франция,Сухое,4790.0,4.0,0.0,0,Дешевое,0.025100401606425703
"Вино Terre Brune, Santadi",2018,Италия,Сухое,9990.0,0.0,0.0,0,Среднее,
"Вино Summus, Banfi",2018,Италия,Сухое,7268.0,5.0,0.0,0,Среднее,0.03252008032128514
"Вино Voskehat Reserve, Zulal",2018,Армения,Сухое,2490.0,0.0,0.0,0,Дешевое,
"Вино Clarendelle by Haut-Brion Medoc, Domaine Clarence Dillon",2018,Франция,Сухое,2618.0,4.7,23.0,1,Дешевое,0.00976245407160557
"Вино Nuits-Saint-Georges Premier Cru Les Pruliers, Domaine Jean Grivot",2018,Франция,Сухое,31490.0,0.0,0.0,0,Дорогое,
"Вино Spatburgunder Blauer, Knipser",2018,Германия,Сухое,3740.0,4.0,5.0,1,Дешевое,0.018511546184738954
"Вино Bourgogne Chardonnay, Domaine Thierry et Pascale Matrot",2018,Франция,Сухое,5490.0,5.0,0.0,0,Дешевое,0.023594377510040163
"Вино Maranges Vieilles Vignes, Domaine Thierry et Pascale Matrot",2018,Франция,Сухое,6790.0,0.0,0.0,0,Среднее,
"Вино Campill, Pranzegg",2018,Италия,Сухое,6990.0,0.0,0.0,0,Среднее,
"Вино Saint-Romain, Domaine Thierry et Pascale Matrot",2018,Франция,Сухое,7990.0,0.0,0.0,0,Среднее,
"Вино Chianti Classico Gran Selezione Vigneto Bellavista, Castello di Ama",2018,Италия,Сухое,54990.0,4.0,0.0,0,Дорогое,0.34011044176706823
"Вино Meursault Rouge, Domaine Thierry et Pascale Matrot",2018,Франция,Сухое,9990.0,5.0,0.0,0,Среднее,0.04618473895582329
"Вино Ailala Souson, Coto de Gomariz",2018,Испания,Сухое,2790.0,4.2,7.0,1,Дешевое,0.011952572193536048
"Вино Meursault Premier Cru Charmes, Domaine Thierry et Pascale Matrot",2018,Франция,Сухое,19490.0,0.0,0.0,0,Дорогое,
"Вино Les Vieux Clos, Nicolas Joly",2018,Франция,Сухое,12490.0,0.0,0.0,0,Среднее,
"Вино Meursault Premier Cru Blagny, Domaine Thierry et Pascale Matrot",2018,Франция,Сухое,18490.0,3.0,1.0,1,Дорогое,0.14809236947791163
"Вино Saint-Aubin Premier Cru Les Murgers des Dents de Chien, Francois Carillon",2018,Франция,Сухое,14490.0,0.0,0.0,0,Среднее,
"Вино Meursault Blanc, Domaine Thierry et Pascale Matrot",2018,Франция,Сухое,13490.0,0.0,0.0,0,Среднее,
"Вино Bourgogne Pinot Noir , Domaine Thierry et Pascale Matrot",2018,Франция,Сухое,5990.0,4.3,2.0,1,Среднее,0.03035397403567759
"Вино Pelago, Umani Ronchi",2018,Италия,Сухое,8490.0,5.0,0.0,0,Среднее,0.03865461847389558
"Вино Набор Barolo, Giacomo Fenocchio",2018,Италия,Вино,39990.0,0.0,0.0,0,Дорогое,
Вино Penfolds RWT Shiraz,2018,Австралия,Сухое,37490.0,0.0,0.0,0,Дорогое,
"Вино Othello, Dominus Estate",2018,Соединенные Штаты Америки,Сухое,13490.0,4.8,0.0,0,Среднее,0.06641147925033468
"Вино Napanook, Dominus Estate",2018,Соединенные Штаты Америки,Сухое,21490.0,4.0,0.0,0,Дорогое,0.12989457831325302
Вино Penfolds Bin 389 Cabernet Shiraz,2018,Австралия,Сухое,11369.0,0.0,0.0,0,Среднее,
"Вино Dominus, Dominus Estate",2018,Соединенные Штаты Америки,Сухое,79990.0,0.0,0.0,0,Дорогое,
"Вино Haiku, Castello di Ama",2018,Италия,Сухое,12490.0,4.8,1.0,1,Среднее,0.06118222891566265
"Вино Monthelie, Domaine Thierry et Pascale Matrot",2018,Франция,Сухое,9290.0,0.0,0.0,0,Среднее,
"Вино Solo, Vodopivec",2018,Италия,Сухое,12490.0,0.0,0.0,0,Среднее,
"Вино Maranges Premier Cru La Fussiere , Domaine Thierry et Pascale Matrot",2018,Франция,Сухое,8690.0,0.0,0.0,0,Среднее,
"Вино Cote-Rotie Chateau d'Ampuis, Guigal",2018,Франция,Сухое,27490.0,0.0,1.0,1,Дорогое,
"Вино Rosso di Montalcino, Pian dell'Orino",2018,Италия,Сухое,12990.0,0.0,0.0,0,Среднее,
"Вино Chianti Classico Gran Selezione Vigneto La Casuccia, Castello di Ama",2018,Италия,Сухое,54990.0,0.0,0.0,0,Дорогое,
"Вино Morogues Les Cris, Domaine Pelle",2018,Франция,Сухое,5690.0,5.0,1.0,1,Дешевое,0.02459839357429719
"Вино Corton-Charlemagne Grand Cru Vieilles Vignes, Domaine Dugat-Py",2018,Франция,Сухое,97490.0,0.0,0.0,0,Дорогое,
"Вино Morogues Les Cris, Domaine Pelle",2018,Франция,Сухое,5690.0,5.0,1.0,1,Дешевое,0.02459839357429719
"Вино Barbera d'Asti Superiore, Canti",2018,Италия,Сухое,1690.0,4.3,13.0,1,Дешевое,0.00525357242925189
"Вино Carnasciale, Podere Il Carnasciale",2018,Италия,Сухое,11490.0,3.0,2.0,1,Среднее,0.089524765729585
"Вино Clos-Vougeot Grand Cru, Domaine d'Eugenie",2018,Франция,Сухое,89990.0,0.0,0.0,0,Дорогое,
"Вино Grands-Echezeaux Grand Cru, Domaine d'Eugenie",2018,Франция,Сухое,129010.0,0.0,0.0,0,Дорогое,
"Вино Pommard, Domaine Jean-Marc & Thomas Bouley",2018,Франция,Сухое,11490.0,3.5,0.0,0,Среднее,0.07673551348250143
"Вино Barbera d'Asti la Crena, Vietti",2018,Италия,Сухое,9990.0,5.0,0.0,0,Среднее,0.04618473895582329
"Вино Chardonnay La Rinconada Vineyard, Tyler",2018,Соединенные Штаты Америки,Сухое,13490.0,0.0,0.0,0,Среднее,
"Вино Volnay Premier Cru Les Mitans, Domaine Michel Lafarge",2018,Франция,Сухое,26490.0,0.0,0.0,0,Дорогое,
"Вино Hermitage Rouge, Domaine Marc Sorrel",2018,Франция,Сухое,24990.0,0.0,1.0,1,Дорогое,
"Вино Hermitage Le Greal, Domaine Marc Sorrel",2018,Франция,Сухое,39990.0,0.0,0.0,0,Дорогое,
"Вино Hermitage Les Rocoules , Domaine Marc Sorrel",2018,Франция,Сухое,39990.0,0.0,0.0,0,Дорогое,
"Вино Gevrey-Chambertin Ostrea, Domaine Trapet Pere et Fils",2018,Франция,Сухое,18990.0,0.0,0.0,0,Дорогое,
"Вино Torrione, Petrolo",2018,Италия,Сухое,6060.0,4.3,1.0,1,Среднее,0.03076258522461941
"Вино Amarone della Valpolicella Classico, Zenato",2018,Италия,Полусухое,11290.0,5.0,5.0,1,Среднее,0.05271084337349397
"Вино Aile d'Argent, Chateau Mouton Rothschild",2018,Франция,Сухое,31990.0,0.0,0.0,0,Дорогое,
"Вино Hommage a Camille Blanc, Louis Roederer",2018,Франция,Сухое,26490.0,0.0,0.0,0,Дорогое,
"Вино Семисам Резерв Мерло, Шумринка",2018,Россия,Сухое,1240.0,4.7,24.0,1,Дешевое,0.002403229941040758
"Вино Набор Бароло и Барбареско (дер), Pio Cesare",2018,Италия,Вино,23490.0,0.0,0.0,0,Дорогое,
"Вино Chianti Classico Gran Selezione San Lorenzo, Castello di Ama",2018,Италия,Сухое,11190.0,5.0,3.0,1,Среднее,0.05220883534136546
"Вино Chianti Classico Gran Selezione San Lorenzo, Castello di Ama",2018,Италия,Сухое,11990.0,5.0,0.0,0,Среднее,0.05622489959839357
"Вино Barolo Villero, Giacomo Fenocchio",2018,Италия,Сухое,17490.0,0.0,0.0,0,Дорогое,
"Вино Cantos del Diablo, Daniel Landi",2018,Испания,Сухое,18340.0,0.0,0.0,0,Дорогое,
"Вино Barolo Castellero, Giacomo Fenocchio",2018,Италия,Сухое,11490.0,0.0,0.0,0,Среднее,
"Вино Saint-Joseph Lieu-dit, Guigal",2018,Франция,Сухое,9990.0,0.0,0.0,0,Среднее,
