Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов,Наличие отзывов,Ценовая категория,Цена/Рейтинг
"Вино Les Picasses, Domaine Olga Raffault",2009,Франция,Сухое,10990.0,4.8,4.0,1,Среднее,0.053338353413654616
Вино Chateau Smith Haut-Lafitte Rouge,2009,Франция,Сухое,71490.0,5.0,0.0,0,Дорогое,0.3549196787148594
Вино Chateau Pichon Baron,2009,Франция,Сухое,61490.0,0.0,0.0,0,Дорогое,
Вино Chateau la Conseillante,2009,Франция,Сухое,61990.0,0.0,0.0,0,Дорогое,
Вино Chateau Pichon Longueville Comtesse de Lalande,2009,Франция,Сухое,58490.0,0.0,0.0,0,Дорогое,
"Вино Les Picasses, Domaine Olga Raffault",2009,Франция,Сухое,10990.0,4.8,4.0,1,Среднее,0.053338353413654616
Вино Chateau Figeac,2009,Франция,Сухое,66490.0,4.5,0.0,0,Дорогое,0.36646586345381527
Вино Chateau Rauzan-Segla,2009,Франция,Сухое,45490.0,5.0,0.0,0,Дорогое,0.2243975903614458
"Вино L`Apparita, Castello di Ama",2009,Италия,Сухое,64990.0,5.0,1.0,1,Дорогое,0.32228915662650603
Вино Chateau Trotanoy,2010,Франция,Сухое,66490.0,0.0,0.0,0,Дорогое,
Вино Chateau la Gaffeliere,2010,Франция,Сухое,35490.0,5.0,0.0,0,Дорогое,0.17419678714859438
Вино Clos Fourtet,2010,Франция,Сухое,44990.0,0.0,0.0,0,Дорогое,
"Вино L`Apparita, Castello di Ama",2010,Италия,Сухое,64990.0,5.0,1.0,1,Дорогое,0.32228915662650603
"Вино Chateau d'Angludet, Chateau Angludet",2010,Франция,Сухое,12990.0,5.0,0.0,0,Среднее,0.06124497991967871
Вино Finca Nueva Gran Reserva,2010,Испания,Сухое,5390.0,4.7,6.0,1,Дешевое,0.024566350508416646
Вино Hilandar St. Sava`s Field,2010,Греция,Полусухое,5490.0,5.0,0.0,0,Дешевое,0.023594377510040163
Вино Ornellaia,2010,Италия,Сухое,124990.0,5.0,0.0,0,Дорогое,0.6234939759036146
Вино Chateau Rauzan-Segla,2011,Франция,Сухое,20490.0,5.0,0.0,0,Дорогое,0.09889558232931726
Вино Chateau Calon Segur,2011,Франция,Сухое,31490.0,5.0,1.0,1,Дорогое,0.15411646586345382
"Вино L’Hermitage Rouge, Jean-Louis Chave",2011,Франция,Сухое,124990.0,0.0,0.0,0,Дорогое,
Вино Chateau Rauzan-Segla,2011,Франция,Сухое,20490.0,5.0,0.0,0,Дорогое,0.09889558232931726
Вино Chateau Pichon Longueville Comtesse de Lalande,2011,Франция,Сухое,39490.0,0.0,0.0,0,Дорогое,
Вино Chateau Pichon Longueville Comtesse de Lalande,2011,Франция,Сухое,39490.0,0.0,0.0,0,Дорогое,
"Вино Chateau Leoville Poyferre, Chateau Leoville-Poyferre",2011,Франция,Сухое,18490.0,0.0,0.0,0,Дорогое,
"Вино Chambertin Grand Cru, Domaine Trapet Pere et Fils",2011,Франция,Сухое,124990.0,0.0,0.0,0,Дорогое,
Вино Chateau La Fleur-Petrus,2011,Франция,Сухое,49990.0,5.0,0.0,0,Дорогое,0.2469879518072289
Вино Chateau Branaire-Ducru,2011,Франция,Сухое,13290.0,5.0,0.0,0,Среднее,0.06275100401606426
"Вино La Dame de Montrose, Chateau Montrose",2011,Франция,Сухое,8290.0,5.0,0.0,0,Среднее,0.03765060240963855
"Вино Chambertin Grand Cru, Domaine Trapet Pere et Fils",2011,Франция,Сухое,124990.0,0.0,0.0,0,Дорогое,
Вино Chateau Gloria,2011,Франция,Сухое,8190.0,4.5,0.0,0,Среднее,0.04127621597501115
"Вино Savigny-les-Beaune Premier Cru Hospices de Beaune  Cuvee Arthur Girard, Domaine Agnes Paquet",2011,Франция,Сухое,29990.0,0.0,0.0,0,Дорогое,
Вино Chateau Montrose,2011,Франция,Сухое,23490.0,0.0,0.0,0,Дорогое,
Вино Chateau La Fleur-Petrus,2011,Франция,Сухое,49990.0,5.0,0.0,0,Дорогое,0.2469879518072289
