Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов
Вино Clos Fourtet,2010.0,Франция,Сухое,44990.0,0.0,
"Вино L`Apparita, Castello di Ama",2010.0,Италия,Сухое,64990.0,5.0,1.0
"Вино Chateau d'Angludet, Chateau Angludet",2010.0,Франция,Сухое,12990.0,5.0,
Вино Finca Nueva Gran Reserva,2010.0,Испания,Сухое,5390.0,4.7,6.0
Вино Hilandar St. Sava`s Field,2010.0,Греция,Полусухое,5490.0,5.0,
Вино Chateau Lafleur,2010.0,Франция,Сухое,242490.0,0.0,
Вино Ornellaia,2010.0,Италия,Сухое,124990.0,5.0,
Вино Chateau Rauzan-Segla,2011.0,Франция,Сухое,20490.0,5.0,
Вино Chateau Calon Segur,2011.0,Франция,Сухое,31490.0,5.0,1.0
"Вино L’Hermitage Rouge, Jean-Louis Chave",2011.0,Франция,Сухое,124990.0,0.0,
Вино Chateau Rauzan-Segla,2011.0,Франция,Сухое,20490.0,5.0,
Вино Chateau Pichon Longueville Comtesse de Lalande,2011.0,Франция,Сухое,39490.0,0.0,
Вино Chateau Pichon Longueville Comtesse de Lalande,2011.0,Франция,Сухое,39490.0,0.0,
"Вино Chateau Leoville Poyferre, Chateau Leoville-Poyferre",2011.0,Франция,Сухое,18490.0,0.0,
"Вино Chambertin Grand Cru, Domaine Trapet Pere et Fils",2011.0,Франция,Сухое,124990.0,0.0,
Вино Chateau La Fleur-Petrus,2011.0,Франция,Сухое,49990.0,5.0,
Вино Chateau Branaire-Ducru,2011.0,Франция,Сухое,13290.0,5.0,
"Вино La Dame de Montrose, Chateau Montrose",2011.0,Франция,Сухое,8290.0,5.0,
"Вино Chambertin Grand Cru, Domaine Trapet Pere et Fils",2011.0,Франция,Сухое,124990.0,0.0,
Вино Chateau Gloria,2011.0,Франция,Сухое,8190.0,4.5,
"Вино Savigny-les-Beaune Premier Cru Hospices de Beaune  Cuvee Arthur Girard, Domaine Agnes Paquet",2011.0,Франция,Сухое,29990.0,0.0,
Вино Chateau Montrose,2011.0,Франция,Сухое,23490.0,0.0,
Вино Chateau La Fleur-Petrus,2011.0,Франция,Сухое,49990.0,5.0,
Вино Chateau Figeac Premier Grand Cru Classe (Saint-Emilion),2011.0,Франция,Сухое,37990.0,4.5,
"Вино Alzero, Giuseppe Quintarelli",2011.0,Италия,Полусухое,79990.0,0.0,
Вино Chateau Belair Monange,2011.0,Франция,Сухое,23490.0,0.0,
